Transaction_ID,Customer_ID_internal,Account_Type_internal,Total_Balance_internal,Transaction_Amount_internal,Investment_Amount_internal,Investment_Type_internal,Transaction_Date_internal,Customer_ID_external,Account_Type_external,Total_Balance_external,Transaction_Amount_external,Investment_Amount_external,Investment_Type_external,Transaction_Date_external,status,amount_difference,date_difference_days,record_location
303055,202803,Current,14287,1855.0,30512,Mutual Fund,2024-07-26,202803,Current,14287.0,1855.0,30512.0,Mutual Fund,2024-07-26,MATCH,0.0,0.0,both
303056,202673,Business,24835,2422.0,33813,Fixed Deposit,2024-03-29,202673,Business,24835.0,2422.0,33813.0,Fixed Deposit,2024-03-29,MATCH,0.0,0.0,both
303057,205376,Savings,90502,4201.0,13636,Fixed Deposit,2022-06-16,205376,Savings,90502.0,4201.0,13636.0,Fixed Deposit,2022-06-16,MATCH,0.0,0.0,both
303058,208607,Business,22131,3316.0,7162,Mutual Fund,2024-12-04,208607,Business,22131.0,3316.0,7162.0,Mutual Fund,2024-12-04,MATCH,0.0,0.0,both
303059,203160,Savings,68852,3272.0,41564,Mutual Fund,2022-04-04,203160,Savings,68852.0,3272.0,41564.0,Mutual Fund,2022-04-04,MATCH,0.0,0.0,both
303060,202569,Savings,62954,702.0,29276,Fixed Deposit,2025-03-16,202569,Savings,62954.0,702.0,29276.0,Fixed Deposit,2025-03-16,MATCH,0.0,0.0,both
303061,207550,Savings,81446,3315.0,48516,Fixed Deposit,2022-12-12,207550,Savings,81446.0,3315.0,48516.0,Fixed Deposit,2022-12-12,MATCH,0.0,0.0,both
303062,207644,Savings,16423,3623.0,8796,Recurring Deposit,2022-07-27,207644,Savings,16423.0,3623.0,8796.0,Recurring Deposit,2022-07-27,MATCH,0.0,0.0,both
303063,203774,Business,90419,122.0,22781,Mutual Fund,2024-05-05,203774,Business,90419.0,122.0,22781.0,Mutual Fund,2024-05-05,MATCH,0.0,0.0,both
303064,207401,Business,33596,3366.0,37535,Fixed Deposit,2024-01-24,207401,Business,33596.0,3366.0,37535.0,Fixed Deposit,2024-01-24,MATCH,0.0,0.0,both
303065,202613,Business,53349,3617.0,44477,Mutual Fund,2024-12-16,202613,Business,53349.0,3617.0,44477.0,Mutual Fund,2024-12-16,MATCH,0.0,0.0,both
303066,206119,Savings,31529,2491.0,17860,Recurring Deposit,2023-08-17,206119,Savings,31529.0,2491.0,17860.0,Recurring Deposit,2023-08-17,MATCH,0.0,0.0,both
303067,201686,Current,26951,2034.0,47614,Recurring Deposit,2024-08-16,201686,Current,26951.0,2034.0,47614.0,Recurring Deposit,2024-08-16,MATCH,0.0,0.0,both
303068,200838,Business,33712,4142.0,13199,Mutual Fund,2022-08-16,200838,Business,33712.0,4142.0,13199.0,Mutual Fund,2022-08-16,MATCH,0.0,0.0,both
303069,206449,Business,41592,678.0,30401,Fixed Deposit,2024-06-18,206449,Business,41592.0,678.0,30401.0,Fixed Deposit,2024-06-18,MATCH,0.0,0.0,both
303070,209123,Current,61536,2614.0,33446,Recurring Deposit,2022-05-26,209123,Current,61536.0,2614.0,33446.0,Recurring Deposit,2022-05-26,MATCH,0.0,0.0,both
303071,202309,Business,11295,4367.0,20285,Mutual Fund,2023-03-12,202309,Business,11295.0,4367.0,20285.0,Mutual Fund,2023-03-12,MATCH,0.0,0.0,both
303072,204972,Business,23641,4681.0,30605,Fixed Deposit,2023-02-12,204972,Business,23641.0,4681.0,30605.0,Fixed Deposit,2023-02-12,MATCH,0.0,0.0,both
303073,203947,Savings,83642,4902.0,28272,Mutual Fund,2025-02-28,203947,Savings,83642.0,4902.0,28272.0,Mutual Fund,2025-02-28,MATCH,0.0,0.0,both
303074,204164,Current,85486,4238.0,40892,Mutual Fund,2024-08-17,204164,Current,85486.0,4238.0,40892.0,Mutual Fund,2024-08-17,MATCH,0.0,0.0,both
303075,200082,Current,20363,1604.01,8779,Fixed Deposit,2024-03-28,200082,Current,20363.0,1604.01,8779.0,Fixed Deposit,2024-03-28,MATCH,0.0,0.0,both
303076,208961,Current,24847,846.0,6809,Mutual Fund,2023-05-16,208961,Current,24847.0,846.0,6809.0,Mutual Fund,2023-05-16,MATCH,0.0,0.0,both
303077,209002,Business,2193,4001.0,6615,Mutual Fund,2022-06-01,209002,Business,2193.0,4001.0,6615.0,Mutual Fund,2022-06-01,MATCH,0.0,0.0,both
303078,208662,Current,21643,1518.0,20295,Fixed Deposit,2022-07-14,208662,Current,21643.0,1518.0,20295.0,Fixed Deposit,2022-07-14,MATCH,0.0,0.0,both
303079,203623,Savings,57176,4674.0,29797,Mutual Fund,2025-02-16,203623,Savings,57176.0,4674.0,29797.0,Mutual Fund,2025-02-16,MATCH,0.0,0.0,both
303080,205123,Current,39694,3308.0,22729,Fixed Deposit,2023-05-30,205123,Current,39694.0,3308.0,22729.0,Fixed Deposit,2023-05-30,MATCH,0.0,0.0,both
303081,206730,Current,54112,3049.0,12068,Fixed Deposit,2024-07-11,206730,Current,54112.0,3049.0,12068.0,Fixed Deposit,2024-07-11,MATCH,0.0,0.0,both
303082,205224,Savings,87767,4436.0,5633,Recurring Deposit,2024-08-12,205224,Savings,87767.0,4436.0,5633.0,Recurring Deposit,2024-08-12,MATCH,0.0,0.0,both
303083,208313,Business,39615,3737.0,42077,Recurring Deposit,2025-01-06,208313,Business,39615.0,3737.0,42077.0,Recurring Deposit,2025-01-06,MATCH,0.0,0.0,both
303084,201890,Savings,94769,2977.0,45495,Mutual Fund,2022-05-11,201890,Savings,94769.0,2977.0,45495.0,Mutual Fund,2022-05-11,MATCH,0.0,0.0,both
303085,208044,Savings,3890,732.0,8397,Mutual Fund,2022-12-24,208044,Savings,3890.0,732.0,8397.0,Mutual Fund,2022-12-24,MATCH,0.0,0.0,both
303086,204784,Current,95053,4430.0,19672,Mutual Fund,2023-07-22,204784,Current,95053.0,4430.0,19672.0,Mutual Fund,2023-07-22,MATCH,0.0,0.0,both
303087,209602,Current,52029,4533.0,46058,Fixed Deposit,2022-04-14,209602,Current,52029.0,4533.0,46058.0,Fixed Deposit,2022-04-14,MATCH,0.0,0.0,both
303088,206094,Current,16159,698.0,26068,Fixed Deposit,2023-02-05,206094,Current,16159.0,698.0,26068.0,Fixed Deposit,2023-02-05,MATCH,0.0,0.0,both
303089,200316,Current,15750,3302.0,28811,Recurring Deposit,2024-09-17,200316,Current,15750.0,3302.0,28811.0,Recurring Deposit,2024-09-17,MATCH,0.0,0.0,both
303090,200504,Savings,16616,995.0,35632,Recurring Deposit,2022-10-30,200504,Savings,16616.0,995.0,35632.0,Recurring Deposit,2022-10-30,MATCH,0.0,0.0,both
303091,208624,Business,83866,4686.0,37730,Mutual Fund,2023-11-29,208624,Business,83866.0,4686.0,37730.0,Mutual Fund,2023-11-29,MATCH,0.0,0.0,both
303092,208783,Business,58535,1382.0,31192,Fixed Deposit,2022-07-18,208783,Business,58535.0,1382.0,31192.0,Fixed Deposit,2022-07-18,MATCH,0.0,0.0,both
303093,206407,Current,41172,1062.0,28611,Fixed Deposit,2023-06-28,206407,Current,41172.0,1062.0,28611.0,Fixed Deposit,2023-06-28,MATCH,0.0,0.0,both
303094,207268,Current,62136,1410.0,2990,Fixed Deposit,2022-11-28,207268,Current,62136.0,1410.0,2990.0,Fixed Deposit,2022-11-28,MATCH,0.0,0.0,both
303095,200600,Current,30023,3498.0,49217,Recurring Deposit,2024-08-13,200600,Current,30023.0,3498.0,49217.0,Recurring Deposit,2024-08-13,MATCH,0.0,0.0,both
303096,203479,Business,17244,4762.0,18728,Recurring Deposit,2023-03-29,203479,Business,17244.0,4762.0,18728.0,Recurring Deposit,2023-03-29,MATCH,0.0,0.0,both
303097,202452,Savings,33515,1070.0,25168,Fixed Deposit,2024-08-17,202452,Savings,33515.0,1070.0,25168.0,Fixed Deposit,2024-08-17,MATCH,0.0,0.0,both
303098,201147,Savings,61154,2239.0,11092,Fixed Deposit,2023-11-15,201147,Savings,61154.0,2239.0,11092.0,Fixed Deposit,2023-11-15,MATCH,0.0,0.0,both
303099,204359,Business,89412,991.0,19024,Fixed Deposit,2025-02-04,204359,Business,89412.0,991.0,19024.0,Fixed Deposit,2025-02-04,MATCH,0.0,0.0,both
303100,208850,Savings,3857,2375.0,38713,Mutual Fund,2024-07-07,208850,Savings,3857.0,2375.0,38713.0,Mutual Fund,2024-07-07,MATCH,0.0,0.0,both
303101,206941,Business,71606,3281.0,49119,Fixed Deposit,2023-08-18,206941,Business,71606.0,3281.0,49119.0,Fixed Deposit,2023-08-18,MATCH,0.0,0.0,both
303102,201114,Savings,99456,2428.0,31924,Fixed Deposit,2023-11-07,201114,Savings,99456.0,2428.0,31924.0,Fixed Deposit,2023-11-07,MATCH,0.0,0.0,both
303103,209187,Savings,86890,2697.0,40311,Recurring Deposit,2022-10-24,209187,Savings,86890.0,2697.0,40311.0,Recurring Deposit,2022-10-24,MATCH,0.0,0.0,both
303104,206515,Current,48371,2975.0,25690,Fixed Deposit,2025-02-23,206515,Current,48371.0,2975.0,25690.0,Fixed Deposit,2025-02-23,MATCH,0.0,0.0,both
303105,208552,Business,63375,3256.0,47940,Recurring Deposit,2022-07-20,208552,Business,63375.0,3256.0,47940.0,Recurring Deposit,2022-07-20,MATCH,0.0,0.0,both
303106,206906,Business,96519,1321.0,41724,Recurring Deposit,2024-05-06,206906,Business,96519.0,1321.0,41724.0,Recurring Deposit,2024-05-06,MATCH,0.0,0.0,both
303107,203784,Current,27929,3247.0,4464,Recurring Deposit,2023-09-09,203784,Current,27929.0,3247.0,4464.0,Recurring Deposit,2023-09-09,MATCH,0.0,0.0,both
303108,209900,Current,28715,1076.0,39876,Fixed Deposit,2022-06-12,209900,Current,28715.0,1076.0,39876.0,Fixed Deposit,2022-06-12,MATCH,0.0,0.0,both
303109,205695,Business,99588,1296.0,21171,Mutual Fund,2022-08-19,205695,Business,99588.0,1296.0,21171.0,Mutual Fund,2022-08-19,MATCH,0.0,0.0,both
303110,205661,Business,19974,711.0,9455,Mutual Fund,2024-01-28,205661,Business,19974.0,711.0,9455.0,Mutual Fund,2024-01-28,MATCH,0.0,0.0,both
303111,205565,Current,72135,723.0,12745,Fixed Deposit,2023-03-16,205565,Current,72135.0,723.0,12745.0,Fixed Deposit,2023-03-16,MATCH,0.0,0.0,both
303112,207337,Business,29695,4963.0,23702,Recurring Deposit,2022-07-17,207337,Business,29695.0,4963.0,23702.0,Recurring Deposit,2022-07-17,MATCH,0.0,0.0,both
303113,209371,Current,45042,1549.0,39099,Recurring Deposit,2023-09-01,209371,Current,45042.0,1549.0,39099.0,Recurring Deposit,2023-09-01,MATCH,0.0,0.0,both
303114,203641,Business,7782,2781.0,47799,Mutual Fund,2024-10-16,203641,Business,7782.0,2781.0,47799.0,Mutual Fund,2024-10-16,MATCH,0.0,0.0,both
303115,201054,Current,28933,4288.0,13652,Fixed Deposit,2024-10-29,201054,Current,28933.0,4288.0,13652.0,Fixed Deposit,2024-10-29,MATCH,0.0,0.0,both
303116,207001,Business,28632,1992.0,28192,Recurring Deposit,2024-10-01,207001,Business,28632.0,1992.0,28192.0,Recurring Deposit,2024-10-01,MATCH,0.0,0.0,both
303117,205731,Business,87802,3713.0,48454,Fixed Deposit,2023-11-27,205731,Business,87802.0,3713.0,48454.0,Fixed Deposit,2023-11-27,MATCH,0.0,0.0,both
303118,206510,Savings,79597,4004.0,23951,Fixed Deposit,2023-08-10,206510,Savings,79597.0,4004.0,23951.0,Fixed Deposit,2023-08-10,MATCH,0.0,0.0,both
303119,204211,Business,56425,3759.0,30426,Mutual Fund,2022-05-06,204211,Business,56425.0,3759.0,30426.0,Mutual Fund,2022-05-06,MATCH,0.0,0.0,both
303120,203595,Current,38606,1929.0,17033,Recurring Deposit,2024-11-30,203595,Current,38606.0,1929.0,17033.0,Recurring Deposit,2024-11-30,MATCH,0.0,0.0,both
303121,205420,Savings,72442,3511.0,23915,Fixed Deposit,2023-05-19,205420,Savings,72442.0,3511.0,23915.0,Fixed Deposit,2023-05-19,MATCH,0.0,0.0,both
303122,208513,Current,91351,1905.0,44697,Mutual Fund,2024-02-18,208513,Current,91351.0,1905.0,44697.0,Mutual Fund,2024-02-18,MATCH,0.0,0.0,both
303123,202919,Current,8719,581.0,32993,Recurring Deposit,2024-04-21,202919,Current,8719.0,581.0,32993.0,Recurring Deposit,2024-04-21,MATCH,0.0,0.0,both
303124,205535,Current,25721,4030.0,44398,Recurring Deposit,2023-03-10,205535,Current,25721.0,4030.0,44398.0,Recurring Deposit,2023-03-10,MATCH,0.0,0.0,both
303125,202472,Current,10507,4956.0,1383,Mutual Fund,2023-09-24,202472,Current,10507.0,4956.0,1383.0,Mutual Fund,2023-09-24,MATCH,0.0,0.0,both
303126,204278,Business,31007,3404.0,12945,Mutual Fund,2024-07-27,204278,Business,31007.0,3404.0,12945.0,Mutual Fund,2024-07-27,MATCH,0.0,0.0,both
303127,203908,Current,50459,3404.0,22605,Recurring Deposit,2023-10-25,203908,Current,50459.0,3404.0,22605.0,Recurring Deposit,2023-10-25,MATCH,0.0,0.0,both
303128,204612,Savings,58141,3132.0,31144,Mutual Fund,2024-01-20,204612,Savings,58141.0,3132.0,31144.0,Mutual Fund,2024-01-20,MATCH,0.0,0.0,both
303129,203062,Savings,51036,2925.0,4889,Fixed Deposit,2023-01-03,203062,Savings,51036.0,2925.0,4889.0,Fixed Deposit,2023-01-03,MATCH,0.0,0.0,both
303130,206514,Current,8797,2186.0,49761,Mutual Fund,2025-02-08,206514,Current,8797.0,2186.0,49761.0,Mutual Fund,2025-02-08,MATCH,0.0,0.0,both
303131,207138,Business,75353,2755.0,37397,Fixed Deposit,2024-09-16,207138,Business,75353.0,2755.0,37397.0,Fixed Deposit,2024-09-16,MATCH,0.0,0.0,both
303132,208100,Savings,60923,325.0,22335,Fixed Deposit,2025-01-10,208100,Savings,60923.0,325.0,22335.0,Fixed Deposit,2025-01-10,MATCH,0.0,0.0,both
303133,207521,Business,93388,3066.0,23569,Mutual Fund,2023-11-01,207521,Business,93388.0,3066.0,23569.0,Mutual Fund,2023-11-01,MATCH,0.0,0.0,both
303134,202715,Savings,57101,2627.0,19252,Fixed Deposit,2022-08-01,202715,Savings,57101.0,2627.0,19252.0,Fixed Deposit,2022-08-01,MATCH,0.0,0.0,both
303135,207482,Current,55291,2490.0,35533,Mutual Fund,2024-11-05,207482,Current,55291.0,2490.0,35533.0,Mutual Fund,2024-11-05,MATCH,0.0,0.0,both
303136,205819,Savings,85227,2554.0,13425,Fixed Deposit,2023-06-22,205819,Savings,85227.0,2554.0,13425.0,Fixed Deposit,2023-06-22,MATCH,0.0,0.0,both
303137,205300,Current,73688,2937.0,24321,Recurring Deposit,2023-04-07,205300,Current,73688.0,2937.0,24321.0,Recurring Deposit,2023-04-07,MATCH,0.0,0.0,both
303138,202727,Business,79437,3446.0,29541,Mutual Fund,2022-07-13,202727,Business,79437.0,3446.0,29541.0,Mutual Fund,2022-07-13,MATCH,0.0,0.0,both
303139,202428,Savings,52396,738.0,24937,Mutual Fund,2022-07-26,202428,Savings,52396.0,738.0,24937.0,Mutual Fund,2022-07-26,MATCH,0.0,0.0,both
303140,203379,Savings,38253,4869.0,8392,Recurring Deposit,2023-05-11,203379,Savings,38253.0,4869.0,8392.0,Recurring Deposit,2023-05-11,MATCH,0.0,0.0,both
303141,204618,Current,59046,2015.0,20802,Recurring Deposit,2022-11-15,204618,Current,59046.0,2015.0,20802.0,Recurring Deposit,2022-11-15,MATCH,0.0,0.0,both
303142,208881,Business,58689,125.0,11949,Recurring Deposit,2023-11-01,208881,Business,58689.0,125.0,11949.0,Recurring Deposit,2023-11-01,MATCH,0.0,0.0,both
303143,202170,Current,93800,1811.0,22180,Recurring Deposit,2024-11-29,202170,Current,93800.0,1811.0,22180.0,Recurring Deposit,2024-11-29,MATCH,0.0,0.0,both
303144,206325,Current,41063,1680.0,3489,Mutual Fund,2022-11-15,206325,Current,41063.0,1680.0,3489.0,Mutual Fund,2022-11-15,MATCH,0.0,0.0,both
303145,205425,Business,72793,486.0,48666,Fixed Deposit,2023-11-16,205425,Business,72793.0,486.0,48666.0,Fixed Deposit,2023-11-16,MATCH,0.0,0.0,both
303146,202800,Current,36774,1079.0,16615,Recurring Deposit,2023-07-25,202800,Current,36774.0,1079.0,16615.0,Recurring Deposit,2023-07-25,MATCH,0.0,0.0,both
303147,202303,Current,86198,1051.0,22326,Recurring Deposit,2023-10-02,202303,Current,86198.0,1051.0,22326.0,Recurring Deposit,2023-10-02,MATCH,0.0,0.0,both
303148,200212,Business,3895,4680.0,43157,Mutual Fund,2022-09-02,200212,Business,3895.0,4680.0,43157.0,Mutual Fund,2022-09-02,MATCH,0.0,0.0,both
303149,204994,Savings,25406,3985.0,41777,Fixed Deposit,2022-08-10,204994,Savings,25406.0,3985.0,41777.0,Fixed Deposit,2022-08-10,MATCH,0.0,0.0,both
303150,201320,Business,32848,190.51,25412,Fixed Deposit,2022-03-29,201320,Business,32848.0,190.51,25412.0,Fixed Deposit,2022-03-29,MATCH,0.0,0.0,both
303151,208095,Business,57021,665.0,10763,Mutual Fund,2023-07-12,208095,Business,57021.0,665.0,10763.0,Mutual Fund,2023-07-12,MATCH,0.0,0.0,both
303152,206871,Business,50077,3964.0,11931,Mutual Fund,2024-02-09,206871,Business,50077.0,3964.0,11931.0,Mutual Fund,2024-02-09,MATCH,0.0,0.0,both
303153,201214,Current,83628,4860.0,24125,Fixed Deposit,2023-10-01,201214,Current,83628.0,4860.0,24125.0,Fixed Deposit,2023-10-01,MATCH,0.0,0.0,both
303154,208082,Business,17644,1876.0,5574,Fixed Deposit,2023-05-14,208082,Business,17644.0,1876.0,5574.0,Fixed Deposit,2023-05-14,MATCH,0.0,0.0,both
303155,208320,Current,45809,2338.0,41422,Mutual Fund,2022-08-26,208320,Current,45809.0,2338.0,41422.0,Mutual Fund,2022-08-26,MATCH,0.0,0.0,both
303156,209248,Business,93021,2203.0,10921,Recurring Deposit,2022-10-12,209248,Business,93021.0,2203.0,10921.0,Recurring Deposit,2022-10-12,MATCH,0.0,0.0,both
303157,205563,Business,86155,3197.0,27288,Recurring Deposit,2022-08-03,205563,Business,86155.0,3197.0,27288.0,Recurring Deposit,2022-08-03,MATCH,0.0,0.0,both
303158,203286,Current,26250,4305.0,37805,Fixed Deposit,2023-01-06,203286,Current,26250.0,4305.0,37805.0,Fixed Deposit,2023-01-06,MATCH,0.0,0.0,both
303159,209969,Current,59670,3107.0,27194,Mutual Fund,2024-01-19,209969,Current,59670.0,3107.0,27194.0,Mutual Fund,2024-01-19,MATCH,0.0,0.0,both
303160,207660,Savings,57207,2598.0,2178,Recurring Deposit,2024-02-16,207660,Savings,57207.0,2598.0,2178.0,Recurring Deposit,2024-02-16,MATCH,0.0,0.0,both
303161,201781,Savings,31884,4348.0,5549,Mutual Fund,2024-08-02,201781,Savings,31884.0,4348.0,5549.0,Mutual Fund,2024-08-02,MATCH,0.0,0.0,both
303162,206333,Current,91025,1198.78,1001,Mutual Fund,2024-07-29,206333,Current,91025.0,1198.78,1001.0,Mutual Fund,2024-07-29,MATCH,0.0,0.0,both
303163,201838,Savings,84183,1853.83,46049,Fixed Deposit,2024-05-25,201838,Savings,84183.0,1853.83,46049.0,Fixed Deposit,2024-05-25,MATCH,0.0,0.0,both
303164,209616,Current,32271,1111.0,5598,Mutual Fund,2023-12-14,209616,Current,32271.0,1111.0,5598.0,Mutual Fund,2023-12-14,MATCH,0.0,0.0,both
303165,202440,Savings,80375,1048.37,44054,Mutual Fund,2022-08-28,202440,Savings,80375.0,1048.37,44054.0,Mutual Fund,2022-08-28,MATCH,0.0,0.0,both
303166,201106,Savings,99500,3785.0,22129,Mutual Fund,2022-04-30,201106,Savings,99500.0,3785.0,22129.0,Mutual Fund,2022-04-30,MATCH,0.0,0.0,both
303167,203002,Current,67610,3532.0,18596,Fixed Deposit,2022-08-07,203002,Current,67610.0,3532.0,18596.0,Fixed Deposit,2022-08-07,MATCH,0.0,0.0,both
303168,205188,Business,24919,3708.0,26895,Fixed Deposit,2023-09-21,205188,Business,24919.0,3708.0,26895.0,Fixed Deposit,2023-09-21,MATCH,0.0,0.0,both
303169,203405,Current,86357,4388.0,22508,Fixed Deposit,2024-07-28,203405,Current,86357.0,4388.0,22508.0,Fixed Deposit,2024-07-28,MATCH,0.0,0.0,both
303170,209004,Savings,58581,867.0,41717,Fixed Deposit,2022-08-12,209004,Savings,58581.0,867.0,41717.0,Fixed Deposit,2022-08-12,MATCH,0.0,0.0,both
303171,203232,Savings,45367,1490.0,41024,Fixed Deposit,2024-10-03,203232,Savings,45367.0,1490.0,41024.0,Fixed Deposit,2024-10-03,MATCH,0.0,0.0,both
303172,204202,Current,91818,3099.0,18093,Mutual Fund,2024-10-05,204202,Current,91818.0,3099.0,18093.0,Mutual Fund,2024-10-05,MATCH,0.0,0.0,both
303173,203051,Savings,59432,4467.0,31027,Fixed Deposit,2023-08-06,203051,Savings,59432.0,4467.0,31027.0,Fixed Deposit,2023-08-06,MATCH,0.0,0.0,both
303174,203877,Current,17173,643.0,21930,Recurring Deposit,2023-11-09,203877,Current,17173.0,643.0,21930.0,Recurring Deposit,2023-11-09,MATCH,0.0,0.0,both
303175,207614,Savings,22855,4046.0,37462,Recurring Deposit,2022-04-09,207614,Savings,22855.0,4046.0,37462.0,Recurring Deposit,2022-04-09,MATCH,0.0,0.0,both
303176,207307,Savings,56061,427.0,7385,Fixed Deposit,2023-06-17,207307,Savings,56061.0,427.0,7385.0,Fixed Deposit,2023-06-17,MATCH,0.0,0.0,both
303177,202882,Business,80179,4540.0,39038,Mutual Fund,2023-12-23,202882,Business,80179.0,4540.0,39038.0,Mutual Fund,2023-12-23,MATCH,0.0,0.0,both
303178,200359,Current,61293,2543.0,37288,Recurring Deposit,2023-11-13,200359,Current,61293.0,2543.0,37288.0,Recurring Deposit,2023-11-13,MATCH,0.0,0.0,both
303179,207068,Business,50318,2599.0,18486,Fixed Deposit,2022-07-30,207068,Business,50318.0,2599.0,18486.0,Fixed Deposit,2022-07-30,MATCH,0.0,0.0,both
303180,202197,Business,65104,3618.0,6607,Fixed Deposit,2024-08-06,202197,Business,65104.0,3618.0,6607.0,Fixed Deposit,2024-08-06,MATCH,0.0,0.0,both
303181,205025,Savings,45628,3581.0,31284,Mutual Fund,2023-04-02,205025,Savings,45628.0,3581.0,31284.0,Mutual Fund,2023-04-02,MATCH,0.0,0.0,both
303182,205957,Current,37831,4639.0,5517,Mutual Fund,2024-08-25,205957,Current,37831.0,4639.0,5517.0,Mutual Fund,2024-08-25,MATCH,0.0,0.0,both
303183,200098,Savings,19224,1965.0,26229,Fixed Deposit,2024-06-07,200098,Savings,19224.0,1965.0,26229.0,Fixed Deposit,2024-06-07,MATCH,0.0,0.0,both
303184,207334,Current,14168,4768.0,34682,Recurring Deposit,2022-12-09,207334,Current,14168.0,4768.0,34682.0,Recurring Deposit,2022-12-09,MATCH,0.0,0.0,both
303185,202703,Business,39414,2152.0,44144,Mutual Fund,2025-02-17,202703,Business,39414.0,2152.0,44144.0,Mutual Fund,2025-02-17,MATCH,0.0,0.0,both
303186,209003,Savings,17160,4867.0,34568,Fixed Deposit,2023-11-02,209003,Savings,17160.0,4867.0,34568.0,Fixed Deposit,2023-11-02,MATCH,0.0,0.0,both
303187,201875,Savings,21575,1219.0,4060,Fixed Deposit,2022-12-09,201875,Savings,21575.0,1219.0,4060.0,Fixed Deposit,2022-12-09,MATCH,0.0,0.0,both
303188,207407,Business,46281,2937.0,39828,Fixed Deposit,2022-10-22,207407,Business,46281.0,2937.0,39828.0,Fixed Deposit,2022-10-22,MATCH,0.0,0.0,both
303189,209432,Business,78299,2979.0,43784,Fixed Deposit,2023-05-12,209432,Business,78299.0,2979.0,43784.0,Fixed Deposit,2023-05-12,MATCH,0.0,0.0,both
303190,205703,Current,6749,3515.0,4587,Fixed Deposit,2023-07-01,205703,Current,6749.0,3515.0,4587.0,Fixed Deposit,2023-07-01,MATCH,0.0,0.0,both
303191,205536,Savings,57518,4942.0,42297,Mutual Fund,2023-05-11,205536,Savings,57518.0,4942.0,42297.0,Mutual Fund,2023-05-11,MATCH,0.0,0.0,both
303192,200684,Business,95860,3660.0,6144,Recurring Deposit,2024-04-25,200684,Business,95860.0,3660.0,6144.0,Recurring Deposit,2024-04-25,MATCH,0.0,0.0,both
303193,202239,Current,9884,4723.0,19658,Mutual Fund,2022-11-02,202239,Current,9884.0,4723.0,19658.0,Mutual Fund,2022-11-02,MATCH,0.0,0.0,both
303194,200898,Current,81038,2454.0,3293,Fixed Deposit,2022-06-27,200898,Current,81038.0,2454.0,3293.0,Fixed Deposit,2022-06-27,MATCH,0.0,0.0,both
303195,209879,Business,29613,2111.0,38222,Mutual Fund,2022-12-05,209879,Business,29613.0,2111.0,38222.0,Mutual Fund,2022-12-05,MATCH,0.0,0.0,both
303196,205067,Savings,24432,1750.0,15752,Mutual Fund,2024-01-25,205067,Savings,24432.0,1750.0,15752.0,Mutual Fund,2024-01-25,MATCH,0.0,0.0,both
303197,206814,Business,2129,3096.0,21369,Mutual Fund,2023-05-23,206814,Business,2129.0,3096.0,21369.0,Mutual Fund,2023-05-23,MATCH,0.0,0.0,both
303198,205446,Business,96097,486.0,39775,Recurring Deposit,2024-01-04,205446,Business,96097.0,486.0,39775.0,Recurring Deposit,2024-01-04,MATCH,0.0,0.0,both
303199,201831,Current,62405,4080.0,1924,Fixed Deposit,2023-06-29,201831,Current,62405.0,4080.0,1924.0,Fixed Deposit,2023-06-29,MATCH,0.0,0.0,both
303200,205584,Current,58108,4159.0,34512,Fixed Deposit,2024-04-11,205584,Current,58108.0,4159.0,34512.0,Fixed Deposit,2024-04-11,MATCH,0.0,0.0,both
303201,202481,Current,82035,123.0,12598,Mutual Fund,2022-07-18,202481,Current,82035.0,123.0,12598.0,Mutual Fund,2022-07-18,MATCH,0.0,0.0,both
303202,208212,Business,34868,4118.0,36015,Mutual Fund,2023-10-02,208212,Business,34868.0,4118.0,36015.0,Mutual Fund,2023-10-02,MATCH,0.0,0.0,both
303203,206164,Current,40805,277.0,34070,Mutual Fund,2023-04-16,206164,Current,40805.0,277.0,34070.0,Mutual Fund,2023-04-16,MATCH,0.0,0.0,both
303204,204411,Business,76825,4655.0,44640,Mutual Fund,2023-04-08,204411,Business,76825.0,4655.0,44640.0,Mutual Fund,2023-04-08,MATCH,0.0,0.0,both
303205,200617,Business,63092,4570.0,42175,Mutual Fund,2024-11-15,200617,Business,63092.0,4570.0,42175.0,Mutual Fund,2024-11-15,MATCH,0.0,0.0,both
303206,201088,Current,71323,3860.0,47952,Fixed Deposit,2024-04-29,201088,Current,71323.0,3860.0,47952.0,Fixed Deposit,2024-04-29,MATCH,0.0,0.0,both
303207,208340,Business,94658,4484.0,36519,Recurring Deposit,2024-09-28,208340,Business,94658.0,4484.0,36519.0,Recurring Deposit,2024-09-28,MATCH,0.0,0.0,both
303208,205302,Current,1347,1309.0,20595,Mutual Fund,2024-11-02,205302,Current,1347.0,1309.0,20595.0,Mutual Fund,2024-11-02,MATCH,0.0,0.0,both
303209,207748,Business,40396,1285.0,36875,Recurring Deposit,2023-01-18,207748,Business,40396.0,1285.0,36875.0,Recurring Deposit,2023-01-18,MATCH,0.0,0.0,both
303210,207886,Business,50359,3009.0,12789,Mutual Fund,2024-03-01,207886,Business,50359.0,3009.0,12789.0,Mutual Fund,2024-03-01,MATCH,0.0,0.0,both
303211,207789,Current,80476,2128.0,47559,Mutual Fund,2022-09-03,207789,Current,80476.0,2128.0,47559.0,Mutual Fund,2022-09-03,MATCH,0.0,0.0,both
303212,204377,Business,48764,1581.0,12058,Recurring Deposit,2022-10-17,204377,Business,48764.0,1581.0,12058.0,Recurring Deposit,2022-10-17,MATCH,0.0,0.0,both
